Year,Cancer Type,Sex,Count
1982,Melanoma of the skin,Males,0
1982,Melanoma of the skin,Males,0
1982,Melanoma of the skin,Males,6
1982,Melanoma of the skin,Males,30
1982,Melanoma of the skin,Males,52
1982,Melanoma of the skin,Males,83
1982,Melanoma of the skin,Males,125
1982,Melanoma of the skin,Males,115
1982,Melanoma of the skin,Males,134
1982,Melanoma of the skin,Males,131
1982,Melanoma of the skin,Males,179
1982,Melanoma of the skin,Males,195
1982,Melanoma of the skin,Males,201
1982,Melanoma of the skin,Males,186
1982,Melanoma of the skin,Males,145
1982,Melanoma of the skin,Males,82
1982,Melanoma of the skin,Males,54
1982,Melanoma of the skin,Males,14
1982,Melanoma of the skin,Males,4
1982,Melanoma of the skin,Males,1738
1983,Melanoma of the skin,Males,1
1983,Melanoma of the skin,Males,2
1983,Melanoma of the skin,Males,4
1983,Melanoma of the skin,Males,27
1983,Melanoma of the skin,Males,51
1983,Melanoma of the skin,Males,77
1983,Melanoma of the skin,Males,125
1983,Melanoma of the skin,Males,135
1983,Melanoma of the skin,Males,126
1983,Melanoma of the skin,Males,139
1983,Melanoma of the skin,Males,172
1983,Melanoma of the skin,Males,203
1983,Melanoma of the skin,Males,227
1983,Melanoma of the skin,Males,202
1983,Melanoma of the skin,Males,156
1983,Melanoma of the skin,Males,108
1983,Melanoma of the skin,Males,37
1983,Melanoma of the skin,Males,16
1983,Melanoma of the skin,Males,10
1983,Melanoma of the skin,Males,1818
1984,Melanoma of the skin,Males,0
1984,Melanoma of the skin,Males,1
1984,Melanoma of the skin,Males,4
1984,Melanoma of the skin,Males,35
1984,Melanoma of the skin,Males,56
1984,Melanoma of the skin,Males,92
1984,Melanoma of the skin,Males,111
1984,Melanoma of the skin,Males,133
1984,Melanoma of the skin,Males,158
1984,Melanoma of the skin,Males,155
1984,Melanoma of the skin,Males,192
1984,Melanoma of the skin,Males,208
1984,Melanoma of the skin,Males,222
1984,Melanoma of the skin,Males,224
1984,Melanoma of the skin,Males,196
1984,Melanoma of the skin,Males,120
1984,Melanoma of the skin,Males,54
1984,Melanoma of the skin,Males,24
1984,Melanoma of the skin,Males,7
1984,Melanoma of the skin,Males,1993
1985,Melanoma of the skin,Males,0
1985,Melanoma of the skin,Males,0
1985,Melanoma of the skin,Males,2
1985,Melanoma of the skin,Males,27
1985,Melanoma of the skin,Males,59
1985,Melanoma of the skin,Males,107
1985,Melanoma of the skin,Males,139
1985,Melanoma of the skin,Males,163
1985,Melanoma of the skin,Males,168
1985,Melanoma of the skin,Males,157
1985,Melanoma of the skin,Males,196
1985,Melanoma of the skin,Males,253
1985,Melanoma of the skin,Males,264
1985,Melanoma of the skin,Males,240
1985,Melanoma of the skin,Males,212
1985,Melanoma of the skin,Males,125
1985,Melanoma of the skin,Males,68
1985,Melanoma of the skin,Males,30
1985,Melanoma of the skin,Males,8
1985,Melanoma of the skin,Males,2221
1986,Melanoma of the skin,Males,1
1986,Melanoma of the skin,Males,0
1986,Melanoma of the skin,Males,7
1986,Melanoma of the skin,Males,40
1986,Melanoma of the skin,Males,62
1986,Melanoma of the skin,Males,101
1986,Melanoma of the skin,Males,157
