Year,Cancer Type,Sex,Count,"Age-specific Rate (per 100,000)"
1971,Melanoma of the skin,Males,1,0.2
1971,Melanoma of the skin,Males,0,0.0
1971,Melanoma of the skin,Males,1,0.2
1971,Melanoma of the skin,Males,2,0.3
1971,Melanoma of the skin,Males,3,0.5
1971,Melanoma of the skin,Males,8,1.6
1971,Melanoma of the skin,Males,17,4.0
1971,Melanoma of the skin,Males,14,3.6
1971,Melanoma of the skin,Males,24,5.8
1971,Melanoma of the skin,Males,22,5.4
1971,Melanoma of the skin,Males,29,8.5
1971,Melanoma of the skin,Males,26,8.5
1971,Melanoma of the skin,Males,10,4.0
1971,Melanoma of the skin,Males,15,7.9
1971,Melanoma of the skin,Males,18,14.2
1971,Melanoma of the skin,Males,4,5.1
1971,Melanoma of the skin,Males,5,11.4
1971,Melanoma of the skin,Males,0,0.0
1971,Melanoma of the skin,Males,0,0.0
1971,Melanoma of the skin,Males,199,3.0
1972,Melanoma of the skin,Males,0,0.0
1972,Melanoma of the skin,Males,0,0.0
1972,Melanoma of the skin,Males,0,0.0
1972,Melanoma of the skin,Males,2,0.3
1972,Melanoma of the skin,Males,5,0.9
1972,Melanoma of the skin,Males,6,1.1
1972,Melanoma of the skin,Males,9,2.0
1972,Melanoma of the skin,Males,11,2.8
1972,Melanoma of the skin,Males,19,4.6
1972,Melanoma of the skin,Males,26,6.4
1972,Melanoma of the skin,Males,22,6.2
1972,Melanoma of the skin,Males,28,9.1
1972,Melanoma of the skin,Males,26,10.1
1972,Melanoma of the skin,Males,15,7.7
1972,Melanoma of the skin,Males,18,13.6
1972,Melanoma of the skin,Males,10,12.9
1972,Melanoma of the skin,Males,7,15.8
1972,Melanoma of the skin,Males,2,11.8
1972,Melanoma of the skin,Males,0,0.0
1972,Melanoma of the skin,Males,206,3.1
1973,Melanoma of the skin,Males,0,0.0
1973,Melanoma of the skin,Males,0,0.0
1973,Melanoma of the skin,Males,0,0.0
1973,Melanoma of the skin,Males,2,0.3
1973,Melanoma of the skin,Males,8,1.4
1973,Melanoma of the skin,Males,9,1.6
1973,Melanoma of the skin,Males,11,2.4
1973,Melanoma of the skin,Males,8,2.0
1973,Melanoma of the skin,Males,16,4.0
1973,Melanoma of the skin,Males,22,5.3
1973,Melanoma of the skin,Males,21,5.7
1973,Melanoma of the skin,Males,28,9.1
1973,Melanoma of the skin,Males,26,9.8
1973,Melanoma of the skin,Males,24,12.0
1973,Melanoma of the skin,Males,17,12.4
1973,Melanoma of the skin,Males,17,21.9
1973,Melanoma of the skin,Males,7,15.7
1973,Melanoma of the skin,Males,3,17.0
1973,Melanoma of the skin,Males,2,41.3
1973,Melanoma of the skin,Males,221,3.3
1974,Melanoma of the skin,Males,0,0.0
1974,Melanoma of the skin,Males,0,0.0
1974,Melanoma of the skin,Males,0,0.0
1974,Melanoma of the skin,Males,1,0.2
1974,Melanoma of the skin,Males,5,0.9
1974,Melanoma of the skin,Males,9,1.6
1974,Melanoma of the skin,Males,10,2.1
1974,Melanoma of the skin,Males,10,2.4
1974,Melanoma of the skin,Males,21,5.3
1974,Melanoma of the skin,Males,30,7.2
1974,Melanoma of the skin,Males,25,6.5
1974,Melanoma of the skin,Males,26,8.5
1974,Melanoma of the skin,Males,32,11.7
1974,Melanoma of the skin,Males,34,16.5
1974,Melanoma of the skin,Males,13,9.1
1974,Melanoma of the skin,Males,14,17.7
1974,Melanoma of the skin,Males,8,17.9
1974,Melanoma of the skin,Males,5,27.6
1974,Melanoma of the skin,Males,1,19.4
1974,Melanoma of the skin,Males,244,3.5
1975,Melanoma of the skin,Males,0,0.0
1975,Melanoma of the skin,Males,0,0.0
1975,Melanoma of the skin,Males,0,0.0
1975,Melanoma of the skin,Males,2,0.3
1975,Melanoma of the skin,Males,2,0.3
1975,Melanoma of the skin,Males,12,2.0
1975,Melanoma of the skin,Males,15,3.1
1975,Melanoma of the skin,Males,9,2.1
1975,Melanoma of the skin,Males,24,6.2
1975,Melanoma of the skin,Males,29,7.0
1975,Melanoma of the skin,Males,26,6.7
1975,Melanoma of the skin,Males,27,8.7
1975,Melanoma of the skin,Males,19,6.8
1975,Melanoma of the skin,Males,32,15.1
1975,Melanoma of the skin,Males,22,15.1
1975,Melanoma of the skin,Males,15,17.9
1975,Melanoma of the skin,Males,9,20.4
1975,Melanoma of the skin,Males,6,32.3
1975,Melanoma of the skin,Males,1,18.8
1975,Melanoma of the skin,Males,250,3.6
1976,Melanoma of the skin,Males,0,0.0
1976,Melanoma of the skin,Males,0,0.0
1976,Melanoma of the skin,Males,0,0.0
1976,Melanoma of the skin,Males,3,0.5
1976,Melanoma of the skin,Males,7,1.2
1976,Melanoma of the skin,Males,16,2.7
1976,Melanoma of the skin,Males,16,3.2
1976,Melanoma of the skin,Males,14,3.2
1976,Melanoma of the skin,Males,21,5.4
1976,Melanoma of the skin,Males,24,5.8
1976,Melanoma of the skin,Males,26,6.6
1976,Melanoma of the skin,Males,25,7.8
1976,Melanoma of the skin,Males,38,13.5
1976,Melanoma of the skin,Males,27,12.4
1976,Melanoma of the skin,Males,17,11.4
1976,Melanoma of the skin,Males,15,16.9
1976,Melanoma of the skin,Males,8,18.2
1976,Melanoma of the skin,Males,3,15.5
1976,Melanoma of the skin,Males,0,0.0
1976,Melanoma of the skin,Males,260,3.7
1977,Melanoma of the skin,Males,0,0.0
1977,Melanoma of the skin,Males,0,0.0
1977,Melanoma of the skin,Males,0,0.0
1977,Melanoma of the skin,Males,3,0.5
1977,Melanoma of the skin,Males,4,0.7
1977,Melanoma of the skin,Males,12,2.0
1977,Melanoma of the skin,Males,16,3.0
1977,Melanoma of the skin,Males,20,4.5
1977,Melanoma of the skin,Males,17,4.3
1977,Melanoma of the skin,Males,28,7.0
1977,Melanoma of the skin,Males,30,7.6
1977,Melanoma of the skin,Males,34,10.3
1977,Melanoma of the skin,Males,40,14.1
1977,Melanoma of the skin,Males,36,16.0
1977,Melanoma of the skin,Males,28,18.1
1977,Melanoma of the skin,Males,20,21.8
1977,Melanoma of the skin,Males,13,29.6
1977,Melanoma of the skin,Males,6,30.5
1977,Melanoma of the skin,Males,3,51.6
1977,Melanoma of the skin,Males,310,4.4
1978,Melanoma of the skin,Males,0,0.0
1978,Melanoma of the skin,Males,0,0.0
1978,Melanoma of the skin,Males,0,0.0
1978,Melanoma of the skin,Males,2,0.3
1978,Melanoma of the skin,Males,9,1.5
1978,Melanoma of the skin,Males,8,1.3
1978,Melanoma of the skin,Males,23,4.1
1978,Melanoma of the skin,Males,25,5.5
1978,Melanoma of the skin,Males,24,6.0
1978,Melanoma of the skin,Males,24,6.1
1978,Melanoma of the skin,Males,38,9.5
1978,Melanoma of the skin,Males,34,9.9
1978,Melanoma of the skin,Males,32,11.3
1978,Melanoma of the skin,Males,32,13.9
1978,Melanoma of the skin,Males,35,21.9
1978,Melanoma of the skin,Males,8,8.4
1978,Melanoma of the skin,Males,10,22.3
1978,Melanoma of the skin,Males,6,30.1
1978,Melanoma of the skin,Males,2,32.1
1978,Melanoma of the skin,Males,312,4.3
1979,Melanoma of the skin,Males,0,0.0
1979,Melanoma of the skin,Males,0,0.0
1979,Melanoma of the skin,Males,0,0.0
1979,Melanoma of the skin,Males,1,0.1
1979,Melanoma of the skin,Males,3,0.5
1979,Melanoma of the skin,Males,11,1.8
1979,Melanoma of the skin,Males,25,4.3
1979,Melanoma of the skin,Males,19,4.1
1979,Melanoma of the skin,Males,20,4.9
1979,Melanoma of the skin,Males,27,7.0
1979,Melanoma of the skin,Males,35,8.8
1979,Melanoma of the skin,Males,53,14.8
1979,Melanoma of the skin,Males,35,12.5
1979,Melanoma of the skin,Males,38,15.9
1979,Melanoma of the skin,Males,31,18.8
1979,Melanoma of the skin,Males,19,19.1
1979,Melanoma of the skin,Males,8,17.5
1979,Melanoma of the skin,Males,4,20.1
1979,Melanoma of the skin,Males,1,15.1
1979,Melanoma of the skin,Males,330,4.5
1980,Melanoma of the skin,Males,0,0.0
1980,Melanoma of the skin,Males,0,0.0
1980,Melanoma of the skin,Males,0,0.0
1980,Melanoma of the skin,Males,3,0.5
1980,Melanoma of the skin,Males,3,0.5
1980,Melanoma of the skin,Males,12,2.0
1980,Melanoma of the skin,Males,21,3.5
1980,Melanoma of the skin,Males,17,3.5
1980,Melanoma of the skin,Males,16,3.9
1980,Melanoma of the skin,Males,24,6.3
1980,Melanoma of the skin,Males,34,8.6
1980,Melanoma of the skin,Males,44,12.0
1980,Melanoma of the skin,Males,47,16.6
1980,Melanoma of the skin,Males,40,16.3
1980,Melanoma of the skin,Males,41,24.1
1980,Melanoma of the skin,Males,22,21.5
1980,Melanoma of the skin,Males,9,18.3
1980,Melanoma of the skin,Males,4,19.7
1980,Melanoma of the skin,Males,2,28.4
1980,Melanoma of the skin,Males,339,4.6
1981,Melanoma of the skin,Males,0,0.0
1981,Melanoma of the skin,Males,0,0.0
1981,Melanoma of the skin,Males,1,0.1
1981,Melanoma of the skin,Males,1,0.2
1981,Melanoma of the skin,Males,4,0.6
1981,Melanoma of the skin,Males,20,3.2
1981,Melanoma of the skin,Males,22,3.5
1981,Melanoma of the skin,Males,19,3.8
1981,Melanoma of the skin,Males,15,3.5
1981,Melanoma of the skin,Males,27,7.2
1981,Melanoma of the skin,Males,32,8.1
1981,Melanoma of the skin,Males,52,14.0
1981,Melanoma of the skin,Males,42,14.4
1981,Melanoma of the skin,Males,44,17.6
1981,Melanoma of the skin,Males,41,23.3
1981,Melanoma of the skin,Males,29,27.3
1981,Melanoma of the skin,Males,13,25.0
1981,Melanoma of the skin,Males,2,9.8
1981,Melanoma of the skin,Males,0,0.0
1981,Melanoma of the skin,Males,364,4.9
1982,Melanoma of the skin,Males,0,0.0
1982,Melanoma of the skin,Males,0,0.0
1982,Melanoma of the skin,Males,1,0.1
1982,Melanoma of the skin,Males,3,0.5
1982,Melanoma of the skin,Males,7,1.0
1982,Melanoma of the skin,Males,5,0.8
1982,Melanoma of the skin,Males,19,3.1
1982,Melanoma of the skin,Males,25,4.6
1982,Melanoma of the skin,Males,23,5.2
1982,Melanoma of the skin,Males,30,7.8
1982,Melanoma of the skin,Males,39,9.9
1982,Melanoma of the skin,Males,42,11.2
1982,Melanoma of the skin,Males,36,11.8
1982,Melanoma of the skin,Males,59,23.4
1982,Melanoma of the skin,Males,49,26.7
1982,Melanoma of the skin,Males,21,19.0
1982,Melanoma of the skin,Males,14,25.5
1982,Melanoma of the skin,Males,5,24.0
1982,Melanoma of the skin,Males,2,26.1
1982,Melanoma of the skin,Males,380,5.0
1983,Melanoma of the skin,Males,0,0.0
1983,Melanoma of the skin,Males,0,0.0
1983,Melanoma of the skin,Males,0,0.0
1983,Melanoma of the skin,Males,1,0.2
1983,Melanoma of the skin,Males,7,1.0
1983,Melanoma of the skin,Males,7,1.1
1983,Melanoma of the skin,Males,21,3.4
1983,Melanoma of the skin,Males,22,3.8
1983,Melanoma of the skin,Males,24,5.3
1983,Melanoma of the skin,Males,16,4.1
1983,Melanoma of the skin,Males,35,9.1
1983,Melanoma of the skin,Males,43,11.3
1983,Melanoma of the skin,Males,51,16.0
1983,Melanoma of the skin,Males,43,17.1
1983,Melanoma of the skin,Males,42,22.0
1983,Melanoma of the skin,Males,24,20.8
1983,Melanoma of the skin,Males,18,31.2
1983,Melanoma of the skin,Males,7,33.1
1983,Melanoma of the skin,Males,1,12.7
1983,Melanoma of the skin,Males,362,4.7
